% Model:              6reg_allT_k_eps_result_new_kIn_epsIn_HOT_JET.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:54
% Dimension:          2
% Nodes:              84581
% Expressions:        1
% Description:        Surface
% r                       z                        Temperature
0                         0                        422.89943904196696
1.3749999999999938E-4     0                        422.89943904196696
2.7499999999999877E-4     0                        422.89943904196696
0                         1.0571355183384463E-4    422.8994395284475
1.3749999999999938E-4     1.0571355183384463E-4    422.89943958437993
2.7499999999999877E-4     1.0571355183384463E-4    422.89943967022674
0                         2.1142710366768927E-4    422.89943990224185
1.3749999999999938E-4     2.1142710366768927E-4    422.89944011599596
2.7499999999999877E-4     2.1142710366768927E-4    422.8994403143812
0                         3.1995294167674773E-4    422.89944025108423
1.3749999999999938E-4     3.199529416767477E-4     422.8994405947312
2.7499999999999877E-4     3.1995294167674773E-4    422.8994409464953
0                         4.2847877968580614E-4    422.89944059225934
1.3749999999999938E-4     4.2847877968580614E-4    422.89944103429235
2.7499999999999877E-4     4.2847877968580614E-4    422.89944153445276
4.1249999999999935E-4     0                        422.89943904196696
5.499999999999999E-4      0                        422.89943904196696
4.1249999999999935E-4     1.0571355183384463E-4    422.8994396936728
5.499999999999999E-4      1.0571355183384463E-4    422.8994397211836
4.124999999999994E-4      2.1142710366768927E-4    422.89944035954846
5.5E-4                    2.1142710366768927E-4    422.89944040849474
0                         5.398917188147483E-4     422.8994409476704
1.3749999999999938E-4     5.398917188147483E-4     422.89944145964733
2.7499999999999877E-4     5.398917188147483E-4     422.89944209581125
0                         6.513046579436904E-4     422.89944131353366
1.3749999999999938E-4     6.513046579436905E-4     422.89944187117686
2.7499999999999877E-4     6.513046579436905E-4     422.8994426215753
6.875E-4                  0                        422.89943904196696
8.249999999999999E-4      0                        422.89943904196696
6.875000000000001E-4      1.0571355183384463E-4    422.8994397419415
8.25E-4                   1.0571355183384463E-4    422.8994397625303
6.875000000000001E-4      2.1142710366768927E-4    422.8994404470955
8.250000000000001E-4      2.1142710366768927E-4    422.8994404863848
0                         7.656815034310599E-4     422.89944169284547
1.3749999999999938E-4     7.656815034310599E-4     422.8994422818231
2.7499999999999877E-4     7.656815034310599E-4     422.89944313210793
0                         8.800583489184293E-4     422.89944207958916
1.3749999999999938E-4     8.800583489184293E-4     422.89944268718807
2.7499999999999877E-4     8.800583489184293E-4     422.8994436197672
9.624999999999992E-4      0                        422.89943904196696
0.0010999999999999985     0                        422.89943904196696
