% Model:              BurgersEquation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:49
% Dimension:          2
% Nodes:              181621
% Expressions:        1
% Description:        Surface
% X                       par1par                  Dependent variable u
-1                        0                        0
-0.9986666666666667       0                        0.004188763623029286
-0.9973333333333333       0                        0.008377417004706034
-0.996                    0                        0.012565960145030248
-0.9946666666666667       0                        0.01675428280889767
-0.9933333333333334       0                        0.02094227476611503
-0.992                    0                        0.025129936016682338
-0.9906666666666668       0                        0.029317156349147576
-0.9893333333333334       0                        0.03350382556188483
-0.988                    0                        0.03768994365489411
-0.9866666666666667       0                        0.04187540045777491
-0.9853333333333333       0                        0.046060085814872656
-0.984                    0                        0.05024399972618737
-0.9826666666666667       0                        0.05442703207976063
-0.9813333333333334       0                        0.05860907278330925
-0.98                     0                        0.06279012183683325
-0.9786666666666668       0                        0.06697006920419532
-0.9773333333333334       0                        0.07114880487387537
-0.976                    0                        0.07532632884587338
-0.9746666666666667       0                        0.07950253117723849
-0.9733333333333333       0                        0.0836773019545942
-0.972                    0                        0.08785064117794056
-0.9706666666666667       0                        0.09202243901486228
-0.9693333333333334       0                        0.0961925856674938
-0.968                    0                        0.10036108113583513
-0.9666666666666668       0                        0.10452781571533501
-0.9653333333333334       0                        0.10869267974099003
-0.964                    0                        0.1128556732128002
-0.9626666666666667       0                        0.11701668657138618
-0.9613333333333333       0                        0.12117561030193809
-0.96                     0                        0.12533244440445593
-0.9586666666666667       0                        0.12948707948201468
-0.9573333333333334       0                        0.13363940618730802
-0.956                    0                        0.13778942452033596
-0.9546666666666668       0                        0.14193702526388266
-0.9533333333333334       0                        0.14608209925543061
-0.952                    0                        0.15022464649497982
-0.9506666666666667       0                        0.15436455796224896
-0.9493333333333333       0                        0.15850172469676732
-0.948                    0                        0.1626361466985349
-0.9466666666666667       0                        0.16676771516139555
-0.9453333333333334       0                        0.17089632134415406
-0.944                    0                        0.17502196524681043
-0.9426666666666668       0                        0.17914453829449026
-0.9413333333333334       0                        0.18326393198246863
-0.94                     0                        0.1873801463107456
-0.9386666666666666       0                        0.19149307295284632
-0.9373333333333332       0                        0.19560260365767607
-0.9359999999999999       0                        0.19970873842523487
-0.9346666666666666       0                        0.20381136919452375
-0.9333333333333333       0                        0.2079103879852002
-0.9319999999999999       0                        0.21200579479726428
