% Model:              DA_Temp_h=147mm_regv6_58BOS.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 9 2026, 10:39
% Dimension:          2
% Nodes:              22321
% Expressions:        1
% Description:        Surface
% R                       Z                        Temperature
0                         0                        530.1499947614303
1.5000000000000159E-4     0                        530.1499939569695
0                         2.672727272727272E-4     530.1499910082349
1.5000000000000159E-4     2.672727272727272E-4     530.1499907915457
0                         5.836363636363634E-4     530.14998733107
1.5000000000000159E-4     5.836363636363634E-4     530.1499870803492
3.315789473684184E-4      0                        530.1499928161321
3.315789473684183E-4      2.6727272727272716E-4    530.1499900148102
0                         9.490909090909089E-4     530.1499825253705
1.500000000000016E-4      9.490909090909088E-4     530.1499822612403
5.447368421052643E-4      0                        530.1499911991758
5.447368421052643E-4      2.672727272727272E-4     530.1499885149825
0                         0.0013636363636363633    530.1499759222789
1.5000000000000159E-4     0.001363636363636363     530.1499756027424
7.894736842105235E-4      0                        530.1499888890831
7.894736842105233E-4      2.672727272727272E-4     530.149986088012
0                         0.0018272727272727266    530.1499664142322
1.5000000000000159E-4     0.0018272727272727264    530.1499660057251
0.0010657894736842118     0                        530.14998554434
0.0010657894736842118     2.672727272727272E-4     530.1499823757202
0                         0.002339999999999999     530.149952205331
1.5000000000000153E-4     0.002339999999999999     530.1499516544735
0.0013736842105263154     0                        530.1499806184985
0.0013736842105263156     2.672727272727272E-4     530.1499767662316
0                         0.002901818181818181     530.1499302558879
1.5000000000000156E-4     0.002901818181818181     530.149929479243
0.001713157894736844      0                        530.149973220752
0.001713157894736844      2.672727272727272E-4     530.149968233425
0                         0.0035127272727272724    530.1498953763622
1.500000000000015E-4      0.0035127272727272724    530.1498942388424
0.0020842105263157917     0                        530.1499618696452
0.0020842105263157917     2.672727272727272E-4     530.1499550450297
0                         0.004172727272727272     530.149838711841
1.5000000000000156E-4     0.004172727272727272     530.1498369946584
0.002486842105263161      0                        530.1499440493936
0.0024868421052631606     2.672727272727272E-4     530.1499342324934
0                         0.004881818181818182     530.1497452910625
1.5000000000000153E-4     0.004881818181818182     530.1497426429015
